slug	product_count	confidence	top_score	top_suggestion	depth	alternatives
gynaika	7654	high	1.0	Γυναίκα	1	Γυναίκα > Σώμα (0.725) | Γυναίκα > Μαλλιά (0.725)
sympliromata-diatrofis	2652	medium	0.8083	ΣΥΜΠΛΗΡΩΜΑΤΑ ΔΙΑΤΡΟΦΗΣ : ΒΙΤΑΜΙΝΕΣ	1	ΣΥΜΠΛΗΡΩΜΑΤΑ ΔΙΑΤΡΟΦΗΣ : ΒΙΤΑΜΙΝΕΣ > ΒΙΤΑΜΙΝΕΣ (0.7833) | ΣΥΜΠΛΗΡΩΜΑΤΑ ΔΙΑΤΡΟΦΗΣ : ΒΙΤΑΜΙΝΕΣ > ΙΧΝΟΣΤΟΙΧΕΙΑ (0.7)
mitera-paidi	2620	low	0.4167	Γονείς & Παιδί	1	Μαμά - Παιδί (0.4167) | ΒΡΕΦΟΣ ΚΑΙ ΠΑΙΔΙ (0.3625)
farmakeio	2257	high	1.0	Φαρμακείο	1	Φαρμακείο (1.0) | Φαρμακείο > Σεξ (0.725)
spiti	2144	medium	0.6167	ΓΕΝΙΚΑ ΕΙΔΗ > ΓΙΑ ΤΟ ΣΠΙΤΙ	2	ΓΕΝΙΚΑ ΕΙΔΗ > ΓΙΑ ΤΟ ΣΠΙΤΙ > ΣΥΣΚΕΥΕΣ ΓΙΑ ΤΟ ΣΠΙΤΙ (0.525) | ΓΕΝΙΚΑ ΕΙΔΗ > ΓΙΑ ΤΟ ΣΠΙΤΙ > ΑΠΟΘΗΚΕΥΣΗ ΡΟΥΧΙΣΜΟΥ (0.5)
kalluntika	1625	none	0.0		0	
makigiaz	1617	high	1.0	Μακιγιαζ	1	Μακιγιαζ > Νύχια (0.725) | Μακιγιαζ > Μακιγιάζ Προσώπου (0.7)
mitera-kai-paidi	1601	low	0.5833	ΒΡΕΦΟΣ ΚΑΙ ΠΑΙΔΙ	1	ΒΡΕΦΟΣ ΚΑΙ ΠΑΙΔΙ > ΠΑΝΕΣ (0.5167) | ΒΡΕΦΟΣ ΚΑΙ ΠΑΙΔΙ > ΠΑΙΔΙΚΑ ΑΞΕΣΟΥΑΡ (0.4667)
frontida	1409	medium	0.725	ΦΡΟΝΤΙΔΑ ΔΕΡΜΑΤΟΣ	1	Σώμα > Φροντίδα Ποδιών (0.6167) | ΠΡΟΣΩΠΙΚΗ ΥΓΙΕΙΝΗ > ΣΤΟΜΑΤΙΚΗ ΦΡΟΝΤΙΔΑ (0.55)
athlitismos-diatrofi	1008	low	0.5	ΔΙΑΤΡΟΦΗ	1	ΔΙΑΤΡΟΦΗ > ΓΛΥΚΑΝΤΙΚΑ (0.4167) | ΔΙΑΤΡΟΦΗ > ΡΟΦΗΜΑΤΑ (0.4167)
andras	958	high	1.0	Άνδρας	1	Άνδρας > Μαλλιά (0.725) | Άνδρας > Πρόσωπο (0.725)
προσωπο	935	high	1.0	Πρόσωπο	1	Πρόσωπο > Serum (0.725) | Πρόσωπο > Serum (0.725)
gynaika/prosopo	863	high	1.0	Γυναίκα > Πρόσωπο	2	Γυναίκα > Πρόσωπο > Έλαια (0.8083) | Γυναίκα > Πρόσωπο > Serum (0.8083)
ygeia	739	low	0.3964	Συμπληρώματα > Συμπληρώματα Ανα Ανάγκη > Ουροποιητικό – Υγεία Νεφρών	3	
prosfores	650	high	1.0	Προσφορές	1	Προσφορές > Promo (0.725)
σωμα	508	high	1.0	Σώμα	1	Σώμα > Εποχιακά (0.725) | Σώμα > Αρώματα (0.725)
παιδικα-βρεφικα	433	medium	0.675	Εποχιακά > Αντηλιακά > Αντηλιακά Παιδικά - Βρεφικά	3	ΒΡΕΦΟΣ ΚΑΙ ΠΑΙΔΙ > ΠΑΙΔΙΚΑ ΑΞΕΣΟΥΑΡ > ΑΛΛΑ ΒΡΕΦΙΚΑ ΑΞΕΣΟΥΑΡ (0.4929) | ΒΡΕΦΟΣ ΚΑΙ ΠΑΙΔΙ > ΠΑΙΔΙΚΑ ΑΞΕΣΟΥΑΡ > ΒΡΕΦΙΚΑ ΑΞΕΣΟΥΑΡ ΜΠΑΝΙΟΥ (0.4929)
adynatisma	417	low	0.55	Σώμα > Αδυνάτισμα και Κυτταρίτιδα	2	Σώμα > Κρέμες Σώματος > ΤΟΠΙΚΟ ΑΔΥΝΑΤΙΣΜΑ (0.5) | Πρόσωπο > Κρέμες Προσώπου > ΤΟΠΙΚΟ ΑΔΥΝΑΤΙΣΜΑ (0.5)
gynaika/soma	383	high	1.0	Γυναίκα > Σώμα	2	Γυναίκα > Σώμα > Scrub σώματος - Απολέπιση (0.625) | Σώμα (0.5)
gynaika/makigiaz	378	low	0.5	Μακιγιαζ	1	Γυναίκα (0.5) | Μακιγιαζ > Νύχια (0.4167)
stomatiki-ygieini	352	high	1.0	Στοματική Υγιεινή	1	Στοματική Υγιεινή > Οδοντόβουρτσες (0.8083) | Στοματική Υγιεινή > Οδοντόκρεμες (0.8083)
farmakeio/stomatiki-ygieini	343	medium	0.6667	Στοματική Υγιεινή	1	Στοματική Υγιεινή > Οδοντόβουρτσες (0.5833) | Στοματική Υγιεινή > Οδοντόκρεμες (0.5833)
epochiaka/xeimonas	320	low	0.5	Εποχιακά	1	Σώμα > Εποχιακά (0.4167) | Εποχιακά > Αντηλιακά (0.4167)
pet	320	none	0.0		0	
farmakeio/frontida-ygeias	308	low	0.5833	Φαρμακείο > Συσκευές Υγείας	2	Φαρμακείο > Συσκευές Υγείας > Νεφελοποιητές (0.5167) | Φαρμακείο > Συσκευές Υγείας > Μάσκες Εισπνοών (0.4667)
gynaika/mallia	294	high	1.0	Γυναίκα > Μαλλιά	2	Γυναίκα > Μαλλιά > Σαμπουάν (0.8083) | Γυναίκα > Μαλλιά > Λοσιόν - Λάδι Μαλλιών (0.625)
